REG_NAME;bitfield;NAME;ERROR_CODE;TYPE;SERIOUSNESS;SW_NAME;RELATIONS(MB REG);;NOT_FUNCTIONAL;SAFE_STATE;NEED_LCK_OUT
FAULTS_1;6;Conflict signal - Gap Filler Open with Lock Out Sensor;55;1;0;FAULTS_1_SIG_CONFLICT_OPEN_OR_LCK_OUT;1032, 1033, 1034;;1;1;1
FAULTS_1;7;Conflict signal - Gap Filler Open with Motor Supply Signal;56;1;0;FAULTS_1_SIG_CONFLICT_OPEN_OR_MOT_SPLY;1032, 1033, 1034;;1;1;1
FAULTS_1;8;Conflict signal - Gap Filler Open without Plate Position Sensor;57;1;0;FAULTS_1_SIG_CONFLICT_OPEN_OR_PLATE;1032, 1033, 1034;;1;1;1
FAULTS_1;9;Clutch sensors signal not present when expected;58;1;0;FAULTS_1_CLUTCH;1032, 1033, 1034;;1;1;1
FAULTS_1;10;Conflict signal - LockOut sensors failure;59;1;0;FAULTS_1_SIG_CONFLICT_LCK_OUT;1032, 1033, 1034;;1;1;1
FAULTS_1;11;Conflict signal - RetractedOrLockedOut signal when not expected;60;1;0;FAULTS_1_SIG_CONFLICT_RETRLCK;1032, 1033, 1034;;1;1;1
FAULTS_1;12;Closed position sensor failure (safety risk);61;1;0;FAULTS_1_CLOS_SAFETY;1032, 1033, 1034, 1037;;1;1;1
FAULTS_1;13;Lock-Out sensor failure;62;1;0;FAULTS_1_LCK_OUT_NEQ;1032, 1033, 1034, 1037;;1;1;1
FAULTS_1;14;Closed position sensor failure;63;1;0;FAULTS_1_CLOS_NEQ;1032, 1033, 1034, 1037;;1;1;1
FAULTS_1;15;Clutch sensor failure ;64;1;0;FAULTS_1_CLUTCH_NEQ;1032, 1033, 1034, 1037;;1;1;1
FAULTS_2;0;Clutch sensor failure (safety risk);65;1;0;FAULTS_2_CLUTCH_SAFETY;1032, 1033, 1034, 1037;;1;1;1
FAULTS_2;1;Deployed position sensor failure;66;1;0;FAULTS_2_DEPL_SENS;1032, 1033, 1034, 1037;;1;1;1
FAULTS_2;2;Gap Filler SCU failure;80;1;0;FAULTS_2_SCU;;;1;0;0
FAULTS_2;3;Gap Filler SCU self test failed;81;1;0;FAULTS_2_SELFTEST;;;1;0;0
FAULTS_2;4;Gap Filler SCU communication failure;82;1;0;FAULTS_2_COMMUNICATION;;;1;0;0
FAULTS_2;5;Gap Filler SCU memory failure;83;1;0;FAULTS_2_MEMORY;;;1;1;0
FAULTS_2;6;Internal motor controller failure ;84;1;0;FAULTS_2_INT_MOT_CTRL;1036, 1037, 1038, 1039, 1040, 1041;;1;1;0
FAULTS_2;7;Internal current sensor failure ;85;1;0;FAULTS_2_INT_CURR_SENS;1039, 1041;;1;1;0
FAULTS_2;8;Could not read/write hardware IO;86;1;0;FAULTS_2_IO;;;1;1;0
FAULTS_2;9;TCMS Ethernet communication failure ;87;1;0;FAULTS_2_TCMS;;;1;0;0
FAULTS_2;10;Internal motor controller overheat;88;1;2;FAULTS_2_INT_MOT_HEAT;1036, 1037, 1038, 1039, 1040, 1041;;1;0;0
WARNINGS_0;0;Encoder Pulses not equal;200;0;3;WARNINGS_0_ENC_PLS_NEQ;1037, 1038, 1054;;1;0;0
WARNINGS_0;1;Encoder pulses loss;201;0;3;WARNINGS_0_ENC_PLS_LOSS;1037, 1038, 1054;;1;0;0
WARNINGS_0;2;Encoder false pulses;202;0;3;WARNINGS_0_ENC_PLS_FALSE;1037, 1038, 1054;;1;0;0
WARNINGS_0;3;Motor fricton too high;203;0;3;WARNINGS_0_FRICTION;1039, 1044, 1045, 1050, 1051;;1;0;0
WARNINGS_0;4;Deployment time too long;204;0;3;WARNINGS_0_DEPL_TIME;1, 3, 1048;;1;0;0
WARNINGS_0;5;Retraction time too long;205;0;3;WARNINGS_0_RETR_TIME;2, 4, 1049;;1;0;0
WARNINGS_0;6;Temperatue higher than usual;206;0;3;WARNINGS_0_TEMP;1040, 1041;;1;0;0
INFORMATIONS_0;0;Gap Filler UFR Failed To Deploy Because Obstacle;401;3;2;INFO_0_DEPL_OBSTR;1, 3, 1048;;0;0;0
INFORMATIONS_0;1;Gap Filler UFR Failed To Retract Because Obstacle;402;3;2;INFO_0_RETR_OBSTR;2, 4, 1049;;0;0;0
INFORMATIONS_0;2;Gap Filler need to be switched to lock-out urgently ;403;3;0;INFO_0_GO_TO_LCK;1032, 1033, 1034;;1;0;0
INFORMATIONS_0;3;Gap Filler UFR is in lock-out mode;404;3;2;INFO_0_IN_LCK_OUT;1032, 1033, 1034;;1;0;0
ALARMS_0;0;Gap Filler UFR Failed To Deploy Because Obstacle;600;2;2;ALARMS_0_DEPL_OBSTR;1, 3, 1048;;0;0;0
ALARMS_0;1;Gap Filler UFR Failed To Retract Because Obstacle;601;2;2;ALARMS_0_RETR_OBSTR;2, 4, 1049;;0;0;0
ALARMS_0;2;Gap Filler need to be switched to lock-out urgently ;601;2;0;ALARMS_0_GO_TO_LCK;1032, 1033, 1034;;1;0;0
